Profile Pic,Full Name Words,Nums/Length Fullname,Bio Length,External Url,Private,Verified,Business,#Posts,#Followers,#Following,Delta,Fake
1,2,0,119,1,0,1,0,260,9643333,1469,9641864,0
1,2,0,136,1,0,1,1,60,600097,992,599105,0
1,2,0,125,1,0,0,1,3228,459517,1,459516,0
1,3,0,146,1,0,0,1,20,1319,397,922,0
1,2,0,69,1,0,1,1,40,207462,331,207131,0
1,2,0,124,1,0,0,0,35,258099,168,257931,0
1,1,0,29,0,0,1,0,86,1387401,209,1387192,0
1,2,0,105,1,0,0,0,316,418230,297,417933,0
1,1,0,28,1,0,1,1,5553,23161521,6,23161515,0
1,2,0,88,1,0,1,0,258,40459579,966,40458613,0
1,3,0,48,1,0,1,1,4198,37674603,5,37674598,0
1,1,0,0,1,0,1,1,6743,39909522,206,39909316,0
1,2,0,139,0,0,0,0,185,119657,646,119011,0
1,2,0,45,0,0,1,0,93,536357,579,535778,0
1,4,0,126,1,0,1,1,529,1279504,704,1278800,0
1,1,0,93,0,0,0,0,2215,305596,321,305275,0
1,0,0,9,1,0,1,0,0,1130515,0,1130515,0
1,3,0,122,0,0,0,0,8,324,256,68,0
1,2,0,142,1,0,0,1,134,35852,425,35427,0
1,2,0,108,1,0,0,0,250,77158,668,76490,0
1,1,0,80,0,0,0,0,6,174,87,87,0
1,3,0,133,0,0,1,1,27,217883,314,217569,0
1,2,0,60,1,0,0,0,43,171216,87,171129,0
1,1,0,93,1,0,0,1,7,1228,6100,-4872,0
1,1,0,0,0,0,0,1,15,765,969,-204,0
1,2,0,108,0,0,0,0,60,492449,307,492142,0
1,1,0,63,0,0,1,1,2642,226902,82,226820,0
1,0,0,72,0,0,0,0,76,1241,376,865,0
1,1,0,115,0,0,0,0,5,250,32,218,0
1,2,0,63,1,0,1,0,60,210352,449,209903,0
1,1,0,127,0,0,0,1,15,642,238,404,0
1,1,0,73,0,0,0,0,7,441,40,401,0
1,2,0,148,1,0,1,1,4686,1633507,335,1633172,0
1,2,0,71,1,0,0,1,2140,10697,1218,9479,0
1,3,0.3846,36,1,0,1,1,3426,726061,1,726060,0
1,2,0,137,1,0,1,0,431,224066,10,224056,0
1,1,0,110,1,0,0,0,127,299736,365,299371,0
1,2,0,116,1,0,0,1,680,17715,1,17714,0
1,2,0,130,1,0,1,1,119,984001,50,983951,0
1,2,0,77,1,0,1,0,160,230347,27,230320,0
1,1,0,25,1,0,1,1,140,9647899,369,9647530,0
1,1,0,70,1,0,0,0,372,229138,344,228794,0
1,1,0,36,1,0,1,1,1678,563606,320,563286,0
1,2,0,25,1,0,0,1,298,15764,4043,11721,0
1,1,0,76,1,0,0,1,28,233450,128,233322,0
1,1,0,36,1,0,0,1,12,1687044,66,1686978,0
1,1,0,46,0,0,1,0,85,848141,286,847855,0
1,2,0,143,1,0,0,0,92,411505,296,411209,0
1,2,0.0769,66,1,0,0,1,161,110904,289,110615,0
1,2,0,75,1,0,1,0,139,4822005,36,4821969,0
1,2,0,43,0,0,0,0,200,369707,390,369317,0
1,1,0,75,1,0,1,0,207,707792,74,707718,0
1,2,0,132,1,0,0,0,177,115087,119,114968,0
1,0,0,68,0,0,0,1,377,187967,0,187967,0
1,4,0,108,1,0,0,1,349,296804,153,296651,0
1,1,0,91,1,0,0,0,284,370211,187,370024,0
1,1,0,118,1,0,0,1,80,5561,200,5361,0
1,5,0,146,1,0,0,1,808,46760,447,46313,0
1,1,0,13,1,0,1,0,177,4565602,1,4565601,0
1,2,0,71,1,0,1,0,1494,7639371,368,7639003,0
1,1,0,13,1,0,1,1,7019,3765806,0,3765806,0
1,2,0,0,0,0,0,0,239,33271,310,32961,0
1,4,0,122,1,0,0,0,75,97172,281,96891,0
1,1,0,76,1,1,0,0,678,680471,486,679985,0
1,0,0,130,0,0,0,0,158,198076,319,197757,0
1,3,0,140,0,0,0,0,69,210859,95,210764,0
1,1,0.2,91,1,0,0,0,155,180157,328,179829,0
1,2,0,22,1,0,1,0,354,143010,125,142885,0
1,1,0,61,1,0,0,0,207,269897,175,269722,0
1,1,0,86,1,0,0,1,249,237220,112,237108,0
1,2,0,108,1,0,0,0,7,29941,628,29313,0
1,1,0,18,0,0,0,1,29,31881,48,31833,0
1,1,0,146,1,1,0,0,711,337506,747,336759,0
1,4,0,75,1,0,0,0,754,232740,477,232263,0
1,1,0,104,1,0,0,1,191,248382,355,248027,0
1,2,0,115,1,0,0,0,348,592933,402,592531,0
1,6,0,110,0,0,0,1,457,82528,343,82185,0
1,0,0,99,0,0,0,0,2577,83255,482,82773,0
1,2,0,129,1,0,0,0,103,198108,306,197802,0
1,1,0,34,1,0,0,0,76,260554,187,260367,0
1,4,0,136,1,0,0,0,403,203743,34,203709,0
