Profile Pic,Nums/Length Username,Full Name Words,Bio Length,External Url,Verified,Business,#Posts,#Followers,#Following,Last Post Recent,%Post Single Day,Index of Activity,Average of Likes,Fake,Profile Pic Url,Username
1,0,2,0,0,0,1,81,444,409,1,2.469,0.917,39.0,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/66432253_2395096060723330_541890118156288000_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=RVbnxPBdR4MAX-iSjQp&oh=68613b00ac50c62b3f7f87a414fcdb2f&oe=5EAD5CF1,guglielmoravagli
1,0,2,146,1,0,1,760,2123,3310,1,3.0,16.667,45.31,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/45485926_288981641822398_5853004044544507904_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=xmQdmMs9BWsAX8OiTKl&oh=30210891935c3e42d2db46d58e889ee4&oe=5EAFF39A,septshirt
1,0,2,90,1,0,0,136,743,793,0,2.0,0.333,62.25,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/56616346_281843149408971_9128598601306472448_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=pKmVPsGFj5cAX-WitX1&oh=41baf9b3f00937717bca6ac6397a46bb&oe=5EADA4AD,bio_vicio
1,0,2,0,0,0,0,130,868,717,1,1.0,0.417,104.59,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/53470942_255141258748630_6014040424514060288_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=c3e1bsoj-lkAX8XNuSr&oh=6ac24ba7b5e462c363af1c000d02d283&oe=5EAEA0AE,cosimopedrelli
1,0,2,94,0,0,0,52,1301,667,1,1.923,2.833,234.212,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/91474398_1876057002701436_9157870366796808192_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=1--Akb41y8QAX8-wxJY&oh=1c6372d9f392c94b4a611e3414f675e6&oe=5EAE1E32,chiara_melloni
1,0,2,141,0,0,0,59,535,653,0,8.475,0.583,54.559,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/79912499_2490529611212251_2727198727088373760_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=XZrGzqc8j6UAX9haob2&oh=3433f33a76cad78a7d3e34d61db0d2cd&oe=5EAF8A69,ele_chellina
1,0,2,11,0,0,1,63,618,528,1,1.587,0.2,84.032,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/30601667_238350103574400_5004925055021350912_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=E1CGDnzMLDIAX8QEEFO&oh=f449d787389a3b5969fca09a344a1a1d&oe=5EACFE63,danielbehravan
1,0,2,23,1,1,0,27,31359228,336,1,3.704,4.5,5579525.889,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/71594249_1125833014288751_8012044229767331840_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=hLMuqLnfBKoAX_8Fg7I&oh=bb9d50f49c582daf60b25c174f2d58f4&oe=5EACD4C6,jenniferaniston
1,0,2,47,0,0,1,700,1480,593,1,2.0,6.417,143.83,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/81564442_166609037979636_6915485817209094144_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=YNAwXADF6cMAX-uhVmB&oh=13a0ea97a1a46d04fc9778d0d3b52130&oe=5EAF6EE0,sabrinamilesi_
1,0,2,42,0,0,1,362,1580,835,1,1.0,3.083,294.72,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/50570934_347009146027708_5318223286969040896_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=p1zPW5tfjwcAX9dIeAf&oh=28fa2761ce12ca55f65d5b2d569a79ea&oe=5EAE42AC,gregoriomonica_
1,0,4,144,1,0,1,880,29124,255,1,3.0,14.286,2389.89,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/79600571_2608103469420859_2486833029851381760_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=ZHcmFpoeEnEAX8x55tt&oh=ef9bbf74ebf4a6b60851a22a474a0ad8&oe=5EAFEAFF,studenti.unicatt
1,0.3,2,0,0,0,1,302,1037,514,1,1.0,0.75,123.48,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/23734085_536899079989899_7894261499068153856_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=9DwLqAB3fiwAX8TFNZL&oh=3277a80f9eceedebec93032bbc468b9b&oe=5EAE67EE,alessio400
1,0,6,105,1,1,1,8481,1227569,362,1,8.0,100.0,31853.17,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/81538850_2580199982055944_3085791310477524992_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=hCdecwTcqyIAX8KO0jY&oh=0e96582658e78e5b047d8374de0f412e&oe=5EAEA970,chefaticalavitadabomber
1,0,2,111,0,0,1,167,2831,1852,1,3.0,6.583,246.14,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/89677773_190248019091535_6261343112409382912_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=W2UTXFskwWYAX_KCpQH&oh=a38c90b84fff1621996d0a9af85dfd1c&oe=5EAEF7C3,zitalberti
1,0,2,18,0,0,1,16,857,380,1,6.25,0.75,253.875,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/91499855_675922786283619_2011637856811876352_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=lvicyBo92hcAX_AB_GX&oh=95c23efcc23a99f0c8d5acaa0f77e07e&oe=5EAD9910,mariachiaramanici_
1,0,1,58,0,0,1,2258,390400,85,1,5.0,100.0,38486.91,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/82485025_164621917899792_8318475753901522944_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=Nvdiow75Vo0AX8AJOgA&oh=5d787febd2d6ae17c41bb9cc7e37e4ba&oe=5EAE61E3,musetti_animaletti
1,0,1,0,0,0,0,497,1896,955,1,1.0,2.583,354.66,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/84334247_630907394399983_671431120692183040_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=5oolcZ7O8dsAX-9nMJw&oh=0958d5233ac2ae00a55b0c51d8f33bbd&oe=5EAC6895,cristianaadorni
