Profile Pic,Nums/Length Username,Full Name Words,Nums/Length Fullname,Bio Length,External Url,Private,Verified,Business,#Posts,#Followers,#Following,Last Post Recent,Fake
1,0,4,0,126,1,0,1,1,529,1279504,704,1,0
1,0,1,0,93,0,0,0,0,2215,305596,321,1,0
1,0,0,0,9,1,0,1,0,0,1130515,0,Null,0
1,0,3,0,122,0,0,0,0,8,324,256,1,0
1,0,2,0,142,1,0,0,1,134,35852,425,1,0
1,0,2,0,108,1,0,0,0,250,77158,668,1,0
1,0,1,0,80,0,0,0,0,6,174,87,1,0
1,0,3,0,133,0,0,1,1,27,217883,314,1,0
1,0,2,0,60,1,0,0,0,43,171216,87,1,0
1,0.4,1,0,93,1,0,0,1,7,1228,6100,0,0
1,0,1,0,0,0,0,0,1,15,765,969,1,0
1,0,2,0,108,0,0,0,0,60,492449,307,1,0
1,0.111,1,0,63,0,0,1,1,2642,226902,82,1,0
1,0,0,0,72,0,0,0,0,76,1241,376,1,0
1,0,1,0,115,0,0,0,0,5,250,32,1,0
1,0,2,0,63,1,0,1,0,60,210352,449,1,0
1,0,1,0,127,0,0,0,1,15,642,238,1,0
1,0,1,0,73,0,0,0,0,7,441,40,1,0
1,0,2,0,148,1,0,1,1,4686,1633507,335,1,0
1,0,2,0,71,1,0,0,1,2140,10697,1218,1,0
1,0,3,0.3846,36,1,0,1,1,3426,726061,1,1,0
1,0,2,0,137,1,0,1,0,431,224066,10,1,0
1,0,1,0,110,1,0,0,0,127,299736,365,1,0
1,0,2,0,116,1,0,0,1,680,17715,1,1,0
1,0,2,0,130,1,0,1,1,119,984001,50,1,0
1,0,2,0,77,1,0,1,0,160,230347,27,1,0
1,0,1,0,25,1,0,1,1,140,9647899,369,1,0
1,0,1,0,70,1,0,0,0,372,229138,344,1,0
1,0,1,0,36,1,0,1,1,1678,563606,320,1,0
1,0,2,0,25,1,0,0,1,298,15764,4043,1,0
1,0,1,0,76,1,0,0,1,28,233450,128,1,0
1,0,1,0,36,1,0,0,1,12,1687044,66,1,0
1,0,1,0,46,0,0,1,0,85,848141,286,1,0
1,0.062,2,0,143,1,0,0,0,92,411505,296,1,0
1,0.143,2,0.0769,66,1,0,0,1,161,110904,289,1,0
1,0,2,0,75,1,0,1,0,139,4822005,36,1,0
1,0,2,0,43,0,0,0,0,200,369707,390,1,0
1,0,1,0,75,1,0,1,0,207,707792,74,1,0
1,0,2,0,132,1,0,0,0,177,115087,119,1,0
1,0,0,0,68,0,0,0,1,377,187967,0,1,0
1,0,4,0,108,1,0,0,1,349,296804,153,1,0
1,0,1,0,91,1,0,0,0,284,370211,187,1,0
1,0,1,0,118,1,0,0,1,80,5561,200,1,0
1,0,5,0,146,1,0,0,1,808,46760,447,1,0
1,0,1,0,13,1,0,1,0,177,4565602,1,1,0
1,0,2,0,71,1,0,1,0,1494,7639371,368,1,0
1,0,1,0,13,1,0,1,1,7019,3765806,0,1,0
1,0,2,0,0,0,0,0,0,239,33271,310,1,0
1,0.091,4,0,122,1,0,0,0,75,97172,281,1,0
1,0,1,0,76,1,1,0,0,678,680471,486,Null,0
1,0,0,0,130,0,0,0,0,158,198076,319,1,0
1,0,3,0,140,0,0,0,0,69,210859,95,1,0
1,0.143,1,0.2,91,1,0,0,0,155,180157,328,1,0
1,0,2,0,22,1,0,1,0,354,143010,125,1,0
1,0,1,0,61,1,0,0,0,207,269897,175,1,0
1,0,1,0,86,1,0,0,1,249,237220,112,1,0
1,0,2,0,108,1,0,0,0,7,29941,628,1,0
1,0,1,0,18,0,0,0,1,29,31881,48,1,0
1,0,1,0,146,1,1,0,0,711,337506,747,Null,0
1,0.083,4,0,75,1,0,0,0,754,232740,477,1,0
1,0.111,1,0,104,1,0,0,1,191,248382,355,1,0
1,0,2,0,115,1,0,0,0,348,592933,402,1,0
1,0,6,0,110,0,0,0,1,457,82528,343,1,0
1,0,0,0,99,0,0,0,0,2577,83255,482,1,0
1,0,2,0,129,1,0,0,0,103,198108,306,1,0
1,0.125,1,0,34,1,0,0,0,76,260554,187,1,0
1,0,4,0,136,1,0,0,0,403,203743,34,1,0
1,0,2,0,35,1,0,0,0,36,202594,88,1,0
1,0.071,1,0,41,0,0,0,1,24,15419,218,1,0
1,0,4,0,20,0,0,0,0,96,64365,139,0,0
1,0,1,0,90,1,0,0,1,608,3297268,222,1,0
1,0.056,2,0,41,0,0,0,0,5564,782599,119,1,0
1,0,1,0,139,1,0,0,0,442,346955,469,1,0
1,0,2,0,70,1,0,0,0,223,53579,634,1,0
1,0.1,1,0,77,1,0,0,0,40,107960,262,1,0
1,0,1,0,17,1,0,0,0,275,52786,573,1,0
1,0,4,0,60,0,0,0,1,1079,178015,230,1,0
1,0.1,1,0,32,1,0,0,0,519,432670,376,1,0
1,0,1,0,144,1,0,0,0,247,224260,122,1,0
1,0,2,0,124,1,0,1,1,71,406570,0,1,0
1,0,3,0,150,1,0,0,1,2039,29363,2,1,0
1,0,1,0,68,1,0,1,1,1402,716288,213,1,0
1,0,3,0,61,1,0,1,0,94,1471161,126,1,0
1,0,4,0,77,1,0,0,1,1141,21611,1090,1,0
1,0,1,0,84,1,0,0,0,46,68718,1,0,0
1,0,2,0,34,1,0,1,1,85,466137,47,1,0
1,0,2,0,54,1,0,1,1,312,1558283,337,1,0
1,0,2,0,13,1,0,0,1,695,2751091,938,1,0
1,0,1,0,48,1,0,1,0,3891,756600,260,1,0
1,0,3,0,54,0,0,0,1,283,72892,1080,1,0
1,0,2,0,0,0,0,0,0,27,17026,38,1,0
1,0,2,0,124,1,0,0,0,122,18902,4,0,0
1,0,3,0,37,1,0,1,0,146,496492,127,1,0
1,0,3,0,128,1,0,0,1,336,11380,32,1,0
1,0,0,0,52,0,0,0,0,121,26576,115,0,0
1,0,2,0.5455,32,1,0,0,1,138,12867,20,1,0
1,0,2,0,49,0,0,0,1,2090,122294,500,1,0
1,0.077,4,0.0625,148,0,0,0,1,221,14125,2,1,0
1,0,1,0,44,1,0,0,1,621,27917,566,1,0
1,0,2,0,34,1,0,0,1,1529,51178,967,1,0
1,0,1,0,85,1,0,0,0,1614,90222,423,1,0
1,0,2,0,27,1,0,0,1,752,66572,852,1,0
1,0.267,2,0,124,1,0,0,0,402,77631,1130,1,0
1,0,2,0,60,1,0,1,0,1221,1308972,111,1,0
1,0,3,0,0,0,0,0,1,17,478,465,1,0
