Profile Pic,Nums/Length Username,Full Name Words,Nums/Length Fullname,Bio Length,External Url,Private,Verified,Business,#Posts,#Followers,#Following,Last Post Recent,Fake
1,0,4,0,0,0,1,0,0,0,24,357,Null,1
1,0.25,1,0,4,1,0,0,1,99,426,3280,1,1
0,0.636,1,0.6364,0,0,1,0,0,0,25,7035,Null,1
1,0,1,0,0,0,0,0,0,3,62,4162,0,1
1,0.267,2,0,0,0,0,0,0,13,62,6231,0,1
1,0,1,0,0,0,0,0,0,3,87,6199,0,1
1,0,1,0,0,0,0,0,0,2,68,6266,0,1
0,0.167,1,0,0,0,0,0,0,0,40,490,Null,1
0,0.231,2,0,0,0,0,0,0,0,33,0,Null,1
0,0.3,2,0.2727,0,0,1,0,0,0,15,88,Null,1
0,0.231,0,0,0,0,1,0,0,0,0,1,Null,1
0,0.5,1,0.3333,0,0,0,0,0,0,1,0,Null,1
1,0,1,0,0,0,0,0,0,5,69,6075,0,1
1,0,0,0,0,0,1,0,0,4,21,2963,Null,1
1,0,1,0,0,0,0,0,0,1,133,6613,0,1
1,0,0,0,0,0,0,0,0,2,47,6189,0,1
1,0.444,1,0,14,0,1,0,0,19,5,71,Null,1
1,0,0,0,0,0,1,0,0,2,29,6412,Null,1
0,0,2,0,11,0,1,0,0,0,0,50,Null,1
0,0.222,1,0,0,0,0,0,0,1,50,1231,1,1
1,0,1,0,64,0,0,0,0,100,414,1910,0,1
1,0,0,0,0,0,0,0,0,2,84,5998,0,1
1,0,1,0,68,1,1,0,0,1031,513,7469,Null,1
1,0,0,0,0,0,0,0,0,3,80,6100,0,1
1,0.222,2,0,69,1,1,0,0,536,195,1163,Null,1
0,0,3,0,0,0,0,0,0,0,63,1253,Null,1
1,0.4,1,0,0,0,0,0,0,1,7,181,0,1
1,0.25,0,0,0,0,1,0,0,0,512,821,Null,1
1,0,2,0,31,0,0,0,0,0,23,39,Null,1
1,0,0,0,0,0,0,0,0,2,97,6194,0,1
1,0.1,1,0,0,0,0,0,0,4,88,5248,0,1
0,0,1,0,0,0,1,0,0,75,3,589,Null,1
1,0,1,0,0,0,0,0,0,3,80,6179,0,1
1,0.308,1,0,0,0,0,0,0,1,20,611,1,1
0,0,2,0,0,0,0,0,0,0,346,6481,Null,1
1,0,0,0,0,0,0,0,0,4,84,6252,0,1
1,0,1,0,3,0,0,0,1,1,71,4383,0,1
1,0,1,0,0,0,0,0,0,2,74,4070,0,1
1,0,0,0,0,0,1,0,0,3,27,5687,Null,1
1,0.111,3,0,48,0,0,0,1,0,949,4984,Null,1
1,0.333,1,0,112,0,1,0,0,20,277,3638,Null,1
1,0.364,3,0,0,0,1,0,0,124,183,7499,Null,1
1,0,1,0,0,0,0,0,0,1,123,6519,0,1
1,0,0,0,0,0,1,0,0,3,19,3358,Null,1
1,0,2,0,0,0,0,0,0,33,262,805,1,1
1,0.3,1,0,0,0,0,0,0,1,174,168,0,1
0,0,0,0,0,0,1,0,0,1,116,5594,Null,1
